2024-12-31 17:44:40 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:40 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:40 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:40 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:40 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:40 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:40 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:40 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:40 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:40 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:45 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:44:45 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:44:46 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:46 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:46 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:46 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:46 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:46 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:46 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:46 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:46 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:46 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:51 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:44:51 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:44:52 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:52 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:52 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:52 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:52 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:52 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:52 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:52 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:52 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:52 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:57 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:44:57 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:44:57 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:57 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:58 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:58 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:58 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:58 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:58 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:58 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:58 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:58 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:03 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:45:03 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:45:03 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:03 - DEBUG - Skipping duplicate poem: 春江花月夜
